name/season,shots,top-speed,duels-won,aerial-duels-won,crosses,fouls,distance,sprints,intensive-runs,injury_days_list,injury_days_vector
carlos-gruezo_2021/2022,10.0,31.52,73.0,12.0,3.0,27.0,112.8,178.0,688.0,"[(11, 2), (3, 39)]","[0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
carlos-gruezo_2022/2023,2.0,33.58,77.0,15.0,2.0,11.0,108.4,183.0,617.0,"[(1, 16)]","[0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
cebio-soukou_2020/2021,8.0,32.89,44.0,4.0,4.0,8.0,71.1,157.0,492.0,"[(1, 28), (1, 20)]","[0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
cedric-brunner_2020/2021,6.0,33.96,295.0,61.0,47.0,33.0,348.5,688.0,2200.0,"[(8, 17)]","[0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0]"
cedric-brunner_2021/2022,10.0,33.12,255.0,57.0,39.0,34.0,271.5,535.0,1740.0,"[(2, 31)]","[0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
cedric-brunner_2022/2023,9.0,34.52,247.0,53.0,36.0,32.0,282.3,674.0,1949.0,"[(9, 16), (2, 11), (13, 3), (1, 25)]","[0, 25, 11, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3]"
cedric-itten_2021/2022,15.0,29.89,82.0,34.0,6.0,19.0,79.9,146.0,506.0,"[(11, 64)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0]"
cedric-teuchert_2020/2021,23.0,33.63,87.0,8.0,3.0,14.0,104.3,225.0,703.0,"[(3, 24)]","[0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
charles-aranguiz_2019/2020,16.0,30.6,276.0,12.0,5.0,13.0,282.8,373.0,1942.0,"[(11, 11), (1, 42), (4, 28)]","[0, 42, 0, 0, 28, 0, 0, 0, 0, 0, 0, 11, 0, 0]"
charles-aranguiz_2020/2021,4.0,29.4,193.0,18.0,3.0,31.0,229.0,324.0,1729.0,"[(1, 88)]","[0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
charles-aranguiz_2021/2022,11.0,29.83,179.0,14.0,3.0,25.0,206.8,339.0,1659.0,"[(1, 32), (8, 46)]","[0, 32, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0]"
charles-aranguiz_2022/2023,5.0,29.08,43.0,3.0,1.0,5.0,63.9,113.0,525.0,"[(13, 17), (11, 23), (8, 204), (1, 3)]","[0, 3, 0, 0, 0, 0, 0, 0, 204, 0, 0, 23, 0, 17]"
chidera-ejuke_2022/2023,24.0,35.04,119.0,5.0,12.0,2.0,101.7,257.0,711.0,"[(3, 100)]","[0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
chris-fuhrich_2021/2022,31.0,34.41,196.0,5.0,19.0,9.0,204.0,548.0,1436.0,"[(3, 7), (4, 24), (11, 10), (9, 53)]","[0, 0, 0, 7, 24, 0, 0, 0, 0, 53, 0, 10, 0, 0]"
chris-fuhrich_2022/2023,44.0,34.44,200.0,3.0,16.0,7.0,225.8,655.0,1619.0,"[(1, 3)]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
chris-richards_2020/2021,4.0,33.1,118.0,33.0,3.0,7.0,117.9,182.0,625.0,"[(13, 73), (1, 4), (8, 14)]","[0, 4, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 73]"
christian-gentner_2019/2020,37.0,32.73,272.0,36.0,28.0,30.0,310.7,540.0,2012.0,"[(5, 4)]","[0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
christian-gentner_2020/2021,7.0,30.49,98.0,9.0,10.0,11.0,126.6,243.0,917.0,"[(11, 6), (8, 29), (8, 21), (8, 23)]","[0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 6, 0, 0]"
christian-gunter_2023/2024,6.0,34.45,56.0,4.0,36.0,8.0,124.2,277.0,723.0,"[(7, 188)]","[0, 0, 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 0]"
christian-strohdiek_2019/2020,9.0,31.24,147.0,61.0,3.0,10.0,165.0,246.0,865.0,"[(1, 14)]","[0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
christoph-baumgartner_2020/2021,56.0,32.98,366.0,69.0,12.0,63.0,301.1,620.0,2062.0,"[(4, 10)]","[0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
christoph-baumgartner_2021/2022,48.0,33.19,249.0,48.0,29.0,39.0,244.2,461.0,1640.0,"[(1, 26), (1, 11)]","[0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
christoph-kramer_2020/2021,9.0,30.26,237.0,30.0,2.0,31.0,309.6,324.0,1716.0,"[(6, 14)]","[0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0]"
christoph-kramer_2021/2022,3.0,29.2,104.0,12.0,3.0,11.0,102.8,113.0,594.0,"[(13, 49)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49]"
christoph-kramer_2022/2023,6.0,31.03,224.0,33.0,10.0,32.0,295.1,308.0,1561.0,"[(1, 9), (11, 2), (2, 1), (4, 10)]","[0, 9, 1, 0, 10, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
christoph-kramer_2023/2024,1.0,30.23,46.0,8.0,2.0,6.0,41.5,49.0,274.0,"[(11, 7), (10, 13), (3, 44)]","[0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 13, 7, 0, 0]"
christopher-antwi-adjei_2021/2022,29.0,34.33,117.0,13.0,21.0,14.0,129.8,401.0,938.0,"[(13, 7), (1, 5)]","[0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7]"
christopher-antwi-adjei_2023/2024,29.0,34.5,108.0,10.0,34.0,11.0,146.2,444.0,1099.0,"[(11, 6), (1, 34), (1, 7)]","[0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]"
christopher-lenz_2019/2020,15.0,32.85,292.0,53.0,44.0,34.0,288.1,645.0,1947.0,"[(1, 7), (0, 3)]","[3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
christopher-lenz_2020/2021,16.0,33.46,278.0,41.0,49.0,29.0,269.4,621.0,1857.0,"[(1, 21), (1, 63)]","[0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
christopher-lenz_2021/2022,6.0,33.77,90.0,14.0,9.0,14.0,85.2,215.0,582.0,"[(4, 14), (11, 4), (8, 14), (8, 39), (1, 77)]","[0, 77, 0, 0, 14, 0, 0, 0, 53, 0, 0, 4, 0, 0]"
christopher-lenz_2022/2023,12.0,33.31,120.0,23.0,30.0,19.0,160.5,406.0,1129.0,"[(13, 19), (13, 21)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40]"
christopher-nkunku_2020/2021,54.0,34.6,258.0,37.0,29.0,36.0,203.8,560.0,1522.0,"[(5, 7), (4, 32)]","[0, 0, 0, 0, 32, 7, 0, 0, 0, 0, 0, 0, 0, 0]"
christopher-nkunku_2022/2023,73.0,34.57,191.0,18.0,10.0,18.0,212.7,589.0,1461.0,"[(1, 39), (11, 10), (3, 83), (7, 3)]","[0, 39, 0, 83, 0, 0, 0, 3, 0, 0, 0, 10, 0, 0]"
christopher-trimmel_2019/2020,5.0,33.53,290.0,55.0,66.0,32.0,353.1,700.0,2074.0,"[(11, 6)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]"
christopher-trimmel_2020/2021,9.0,34.07,253.0,38.0,68.0,29.0,307.9,656.0,1877.0,"[(1, 10)]","[0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
christopher-trimmel_2022/2023,15.0,33.85,148.0,32.0,58.0,15.0,222.1,430.0,1305.0,"[(11, 3)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
claudio-pizarro_2019/2020,5.0,26.84,45.0,10.0,2.0,1.0,33.0,27.0,171.0,"[(13, 27), (5, 4), (11, 9)]","[0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 9, 0, 27]"
clemens-riedel_2023/2024,5.0,31.8,75.0,13.0,5.0,10.0,93.0,134.0,488.0,"[(4, 22), (4, 49)]","[0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
corentin-tolisso_2019/2020,16.0,33.43,72.0,10.0,6.0,5.0,81.7,132.0,561.0,"[(4, 71)]","[0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
corentin-tolisso_2020/2021,12.0,31.15,95.0,19.0,3.0,14.0,101.4,189.0,741.0,"[(1, 82), (1, 12), (1, 12), (1, 8)]","[0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
corentin-tolisso_2021/2022,17.0,33.01,80.0,19.0,4.0,13.0,92.2,164.0,684.0,"[(1, 24), (1, 21), (1, 3), (8, 39)]","[0, 48, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0]"
cristian-gamboa_2021/2022,5.0,35.86,190.0,34.0,22.0,19.0,196.5,428.0,1241.0,"[(7, 43)]","[0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0]"
cristian-gamboa_2022/2023,9.0,35.26,104.0,15.0,30.0,13.0,165.4,367.0,1040.0,"[(3, 64)]","[0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
daichi-kamada_2019/2020,48.0,32.48,192.0,14.0,18.0,26.0,254.6,520.0,1632.0,"[(10, 11)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0]"
daichi-kamada_2020/2021,38.0,32.26,265.0,17.0,22.0,39.0,314.8,581.0,2021.0,"[(5, 7)]","[0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0]"
daichi-kamada_2021/2022,35.0,32.79,197.0,11.0,13.0,22.0,277.6,517.0,1774.0,"[(1, 14)]","[0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
daley-sinkgraven_2020/2021,5.0,32.78,175.0,10.0,19.0,12.0,228.0,558.0,1619.0,"[(10, 59), (1, 21)]","[0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0]"
damion-downs_2023/2024,5.0,33.36,9.0,2.0,1.0,1.0,26.7,57.0,177.0,"[(11, 4), (2, 9)]","[0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]"
dani-olmo_2021/2022,21.0,31.73,114.0,7.0,5.0,4.0,89.3,175.0,595.0,"[(1, 39)]","[0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
dani-olmo_2022/2023,42.0,32.14,185.0,12.0,6.0,15.0,144.9,347.0,980.0,"[(1, 35), (3, 49)]","[0, 35, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
dani-olmo_2023/2024,44.0,32.94,175.0,15.0,12.0,14.0,168.5,376.0,1186.0,"[(1, 6), (9, 53), (3, 37), (1, 7)]","[0, 13, 0, 37, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0]"
daniel-baier_2019/2020,15.0,31.96,206.0,40.0,7.0,28.0,242.0,517.0,1777.0,"[(8, 22), (8, 11)]","[0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0]"
daniel-caligiuri_2019/2020,41.0,32.86,393.0,54.0,24.0,23.0,281.7,706.0,2057.0,"[(10, 63)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0]"
daniel-didavi_2020/2021,25.0,31.3,91.0,9.0,17.0,17.0,122.9,320.0,955.0,"[(3, 7), (1, 7), (11, 4), (0, 14)]","[14, 7, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]"
daniel-didavi_2021/2022,6.0,30.75,34.0,4.0,8.0,3.0,35.9,94.0,252.0,"[(4, 53), (3, 4)]","[0, 0, 0, 4, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
daniel-ginczek_2019/2020,23.0,33.52,71.0,24.0,2.0,8.0,99.1,259.0,730.0,"[(5, 126)]","[0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0]"
daniel-kofi-kyereh_2022/2023,12.0,32.34,57.0,9.0,1.0,12.0,75.9,135.0,594.0,"[(3, 141), (11, 10), (1, 4), (1, 10)]","[0, 14, 0, 141, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0]"
danilho-doekhi_2022/2023,15.0,32.83,217.0,71.0,6.0,18.0,265.1,251.0,1329.0,"[(1, 11)]","[0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
danilho-doekhi_2023/2024,15.0,31.88,229.0,70.0,2.0,14.0,250.5,270.0,1081.0,"[(1, 68), (2, 5)]","[0, 68, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
danilo-soares_2021/2022,13.0,31.89,412.0,59.0,44.0,36.0,285.5,569.0,1660.0,"[(0, 10)]","[10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
danilo-soares_2022/2023,2.0,32.7,225.0,35.0,7.0,27.0,193.4,350.0,1098.0,"[(11, 7), (0, 56)]","[56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]"
danilo-soares_2023/2024,3.0,30.59,42.0,11.0,3.0,4.0,40.4,73.0,232.0,"[(1, 5), (3, 386)]","[0, 5, 0, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
danny-blum_2021/2022,13.0,32.18,31.0,12.0,15.0,3.0,42.4,114.0,322.0,"[(8, 21), (11, 17), (1, 21)]","[0, 21, 0, 0, 0, 0, 0, 0, 21, 0, 0, 17, 0, 0]"
danny-da-costa_2019/2020,16.0,33.55,140.0,29.0,74.0,6.0,165.3,429.0,1194.0,"[(4, 7), (1, 7)]","[0, 7, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
danny-da-costa_2021/2022,3.0,33.23,78.0,15.0,16.0,8.0,86.3,218.0,642.0,"[(0, 4), (0, 28)]","[32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
danny-da-costa_2022/2023,7.0,34.1,125.0,31.0,36.0,9.0,148.8,433.0,1125.0,"[(11, 4), (0, 53)]","[53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]"
danny-latza_2019/2020,18.0,32.09,173.0,30.0,5.0,40.0,186.0,305.0,1261.0,"[(5, 48), (13, 7)]","[0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 7]"
danny-latza_2022/2023,15.0,32.8,97.0,13.0,2.0,14.0,115.8,238.0,848.0,"[(3, 23)]","[0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
darko-churlinov_2020/2021,2.0,33.62,28.0,3.0,6.0,3.0,32.5,84.0,275.0,"[(11, 7), (2, 11), (1, 7)]","[0, 7, 11, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]"
david-abraham_2019/2020,7.0,34.66,175.0,58.0,4.0,14.0,198.3,414.0,1157.0,"[(5, 3), (5, 9), (1, 5)]","[0, 5, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0]"
david-abraham_2020/2021,9.0,33.36,119.0,36.0,9.0,10.0,159.4,329.0,1025.0,"[(3, 8), (3, 6)]","[0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
david-alaba_2020/2021,21.0,32.96,224.0,22.0,27.0,18.0,298.0,705.0,1974.0,"[(1, 4), (1, 4), (13, 4)]","[0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]"
david-jurasek_2023/2024,5.0,34.2,44.0,3.0,15.0,3.0,66.9,198.0,466.0,"[(4, 35)]","[0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
david-raum_2021/2022,24.0,34.78,308.0,36.0,188.0,23.0,356.2,1063.0,2676.0,"[(4, 5)]","[0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
davie-selke_2020/2021,27.0,34.2,145.0,84.0,7.0,18.0,117.2,274.0,754.0,"[(13, 10), (13, 18), (0, 25)]","[25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28]"
davie-selke_2021/2022,24.0,33.07,138.0,69.0,6.0,29.0,123.0,280.0,772.0,"[(13, 32), (2, 7), (5, 21)]","[0, 0, 7, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 32]"
davie-selke_2023/2024,32.0,34.95,126.0,72.0,3.0,22.0,148.0,299.0,873.0,"[(4, 84), (11, 22), (4, 31), (1, 10)]","[0, 10, 0, 0, 115, 0, 0, 0, 0, 0, 0, 22, 0, 0]"
davy-klaassen_2020/2021,4.0,29.87,21.0,1.0,1.0,6.0,39.0,63.0,266.0,"[(8, 11)]","[0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0]"
dawid-kownacki_2019/2020,26.0,33.2,157.0,42.0,11.0,18.0,130.5,394.0,914.0,"[(3, 119), (13, 16), (13, 32)]","[0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48]"
dawid-kownacki_2023/2024,17.0,33.52,53.0,34.0,2.0,9.0,55.4,162.0,394.0,"[(13, 13), (11, 4)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 13]"
dayot-upamecano_2020/2021,13.0,35.43,311.0,97.0,3.0,33.0,271.4,444.0,1334.0,"[(1, 13), (1, 13)]","[0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
dayot-upamecano_2021/2022,10.0,35.67,292.0,76.0,1.0,26.0,271.8,516.0,1516.0,"[(13, 11)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11]"
dayot-upamecano_2023/2024,10.0,35.02,190.0,48.0,2.0,22.0,212.2,400.0,1168.0,"[(1, 13), (13, 24), (13, 4)]","[0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28]"
dedryck-boyata_2021/2022,7.0,32.96,140.0,66.0,1.0,11.0,205.4,284.0,963.0,"[(10, 25), (13, 11), (1, 7)]","[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 11]"
dejan-ljubicic_2021/2022,29.0,34.9,184.0,11.0,54.0,28.0,266.6,788.0,2202.0,"[(11, 4)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]"
dejan-ljubicic_2022/2023,34.0,34.71,159.0,13.0,36.0,25.0,233.4,681.0,1898.0,"[(3, 82)]","[0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
dejan-ljubicic_2023/2024,35.0,33.99,165.0,9.0,22.0,30.0,278.1,702.0,2138.0,"[(11, 28), (11, 4), (11, 14), (4, 9)]","[0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 46, 0, 0]"
delano-burgzorg_2022/2023,4.0,34.62,32.0,1.0,1.0,2.0,33.3,92.0,242.0,"[(4, 20)]","[0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
denis-huseinbasic_2022/2023,16.0,32.19,95.0,4.0,8.0,14.0,116.4,264.0,820.0,"[(11, 5)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]"
denis-zakaria_2019/2020,23.0,34.53,252.0,25.0,1.0,24.0,237.0,455.0,1345.0,"[(3, 246)]","[0, 0, 0, 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
denis-zakaria_2020/2021,10.0,34.62,155.0,18.0,4.0,23.0,171.4,277.0,937.0,"[(3, 9)]","[0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
denis-zakaria_2021/2022,19.0,35.62,167.0,12.0,4.0,18.0,160.4,336.0,888.0,"[(13, 6), (13, 33), (1, 2), (11, 5)]","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 39]"
deniz-undav_2023/2024,103.0,32.73,226.0,17.0,9.0,29.0,255.7,591.0,1776.0,"[(1, 12), (3, 33)]","[0, 12, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
dennis-geiger_2020/2021,7.0,31.6,60.0,4.0,5.0,14.0,89.9,170.0,629.0,"[(1, 64), (7, 14), (3, 3)]","[0, 64, 0, 3, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0]"
dennis-geiger_2021/2022,14.0,30.54,135.0,4.0,8.0,35.0,178.8,263.0,1157.0,"[(1, 66), (2, 32), (1, 5), (13, 4)]","[0, 71, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]"
dennis-geiger_2022/2023,5.0,30.74,176.0,10.0,4.0,40.0,244.0,381.0,1528.0,"[(11, 11)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0]"
derry-scherhant_2022/2023,4.0,33.42,33.0,4.0,1.0,1.0,36.5,118.0,264.0,"[(1, 35)]","[0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
diadie-samassekou_2019/2020,6.0,30.91,157.0,22.0,3.0,19.0,164.4,170.0,959.0,"[(1, 6), (1, 52)]","[0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
diadie-samassekou_2020/2021,16.0,32.27,359.0,56.0,8.0,42.0,312.2,346.0,1921.0,"[(0, 7)]","[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
diadie-samassekou_2021/2022,15.0,30.63,193.0,33.0,3.0,31.0,204.7,232.0,1319.0,"[(11, 6)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]"
diogo-leite_2022/2023,8.0,31.55,227.0,94.0,3.0,43.0,293.5,414.0,1820.0,"[(11, 4), (1, 11)]","[0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]"
djibril-sow_2019/2020,23.0,33.28,225.0,28.0,20.0,35.0,242.0,467.0,1603.0,"[(1, 49)]","[0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
djibril-sow_2020/2021,11.0,33.6,274.0,33.0,6.0,41.0,295.3,462.0,1827.0,"[(4, 14)]","[0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
djibril-sow_2021/2022,15.0,34.01,252.0,31.0,4.0,37.0,321.6,412.0,1920.0,"[(3, 10)]","[0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
djibril-sow_2022/2023,27.0,34.61,248.0,31.0,3.0,36.0,350.7,443.0,2076.0,"[(1, 2)]","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
dodi-lukebakio_2020/2021,45.0,34.87,228.0,27.0,18.0,30.0,207.7,538.0,1420.0,"[(11, 5)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]"
dominick-drexler_2019/2020,19.0,33.15,179.0,19.0,35.0,26.0,197.8,525.0,1482.0,"[(13, 14)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14]"
dominick-drexler_2022/2023,15.0,32.29,140.0,23.0,34.0,24.0,168.5,365.0,1118.0,"[(1, 24), (1, 7)]","[0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
dominik-kohr_2021/2022,17.0,34.61,198.0,35.0,2.0,45.0,192.2,275.0,918.0,"[(13, 38)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38]"
dominik-szoboszlai_2021/2022,42.0,33.95,170.0,20.0,31.0,14.0,188.2,492.0,1281.0,"[(4, 4)]","[0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
dominique-heintz_2021/2022,1.0,29.99,53.0,12.0,2.0,5.0,57.2,60.0,241.0,"[(4, 49), (4, 11), (1, 3)]","[0, 3, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
dominique-heintz_2022/2023,3.0,30.94,70.0,22.0,4.0,11.0,86.5,93.0,313.0,"[(5, 65), (1, 42)]","[0, 42, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0]"
donny-van-de-beek_2023/2024,2.0,31.04,39.0,5.0,1.0,7.0,49.0,100.0,400.0,"[(4, 14)]","[0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
donyell-malen_2021/2022,48.0,34.71,168.0,9.0,18.0,9.0,189.0,430.0,1222.0,"[(1, 98)]","[0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
donyell-malen_2022/2023,62.0,35.14,209.0,7.0,33.0,12.0,182.3,398.0,1033.0,"[(4, 2), (1, 25)]","[0, 25, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
donyell-malen_2023/2024,71.0,34.83,160.0,5.0,28.0,11.0,199.0,416.0,1183.0,"[(3, 15), (13, 16)]","[0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16]"
douglas-costa_2020/2021,4.0,32.27,40.0,1.0,13.0,6.0,48.6,112.0,363.0,"[(4, 121), (13, 33)]","[0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 33]"
edimilson-fernandes_2019/2020,23.0,32.65,124.0,18.0,9.0,21.0,184.9,266.0,1025.0,"[(3, 45)]","[0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
edimilson-fernandes_2020/2021,13.0,32.6,60.0,7.0,8.0,7.0,109.9,184.0,612.0,"[(4, 28), (11, 11)]","[0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 11, 0, 0]"
edimilson-fernandes_2021/2022,4.0,32.59,25.0,6.0,8.0,3.0,34.8,68.0,204.0,"[(1, 7)]","[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
edimilson-fernandes_2022/2023,15.0,33.32,217.0,53.0,15.0,28.0,284.9,457.0,1526.0,"[(4, 3)]","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
edmond-tapsoba_2023/2024,13.0,34.12,189.0,50.0,2.0,24.0,240.7,384.0,1263.0,"[(7, 14)]","[0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0]"
eduard-lowen_2019/2020,16.0,31.97,130.0,15.0,5.0,14.0,128.8,260.0,869.0,"[(3, 24)]","[0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
eduard-lowen_2021/2022,39.0,31.99,158.0,31.0,27.0,18.0,181.3,360.0,1262.0,"[(11, 4), (1, 17)]","[0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]"
ellyes-skhiri_2021/2022,22.0,33.1,242.0,40.0,4.0,17.0,253.9,459.0,1644.0,"[(13, 14), (11, 35), (3, 38)]","[0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 35, 0, 14]"
